ds,yhat,yhat_lower,yhat_upper
2023-07-24,4482.861350733868,4306.254498387636,4669.199334289582
2023-07-25,4481.143069243547,4297.768308388423,4675.634179091706
2023-07-26,4477.182653874978,4285.080586626813,4652.656541129459
2023-07-27,4477.663031972149,4284.685185672098,4655.283865419558
2023-07-28,4479.264956543892,4307.658414835962,4671.766303434419
2023-07-31,4475.430518450078,4283.281965211166,4665.220745041691
2023-08-01,4473.296412013939,4282.746596542554,4667.59941722824
2023-08-02,4469.478340009762,4282.856196561639,4650.808508991516
2023-08-03,4468.49053767597,4277.389811288638,4657.065619148849
2023-08-04,4469.141014509022,4278.0748855623,4654.1945883630415
2023-08-07,4465.089224141167,4285.140318296365,4644.306995646657
2023-08-08,4463.553323700013,4270.671853617113,4642.629185635344
2023-08-09,4460.543269872769,4272.719160284709,4634.793121528174
2023-08-10,4462.643939830924,4275.375796317085,4657.8436377966
2023-08-11,4466.421335426991,4273.256665935987,4636.096440109675
2023-08-14,4471.109620803775,4283.735862982949,4668.183337071214
2023-08-15,4471.998236699839,4272.871558963603,4649.2338232354705
2023-08-16,4471.0452775361355,4288.086556266966,4649.345162037677
2023-08-17,4474.774389111192,4287.677312496433,4655.386904441724
2023-08-18,4479.700837501119,4288.536333758567,4657.723926995203
2023-08-21,4484.632177146327,4301.493249870508,4681.615234850602
2023-08-22,4484.488848358027,4304.8739947049835,4671.289308076352
2023-08-23,4481.957865941382,4304.306737161695,4669.923221248134
2023-08-24,4483.588336052379,4312.996796042435,4652.717102487906
2023-08-25,4485.932871092839,4308.734802829056,4671.16601660911
2023-08-28,4480.746786371349,4302.522199404897,4672.390015153186
2023-08-29,4476.657795311689,4292.285242105032,4653.074419670856
2023-08-30,4470.018050139141,4300.19467481025,4656.718028284611
2023-08-31,4467.455766019401,4280.9537478701495,4651.946192759039
2023-09-01,4465.603319357942,4295.10528462463,4670.813253959703
2023-09-05,4441.011656991691,4265.535614023898,4630.464406807946
2023-09-06,4431.244756949373,4254.900349275404,4620.445184039735
2023-09-07,4425.943945740155,4249.404248609733,4603.311700306915
2023-09-08,4421.779448926055,4241.055839827257,4610.51900930314
2023-09-11,4400.588843648421,4231.78956392436,4571.560055254673
2023-09-12,4392.593249857139,4212.699542815181,4566.516787730461
2023-09-13,4382.845573029169,4179.641450877437,4559.134569605887
2023-09-14,4377.997777690841,4191.152326637881,4554.299977386513
2023-09-15,4374.687881315296,4184.707784814561,4547.849279457728
2023-09-18,4358.048323343433,4165.01026391556,4536.574935309604
2023-09-19,4352.0675684478465,4159.628738881398,4543.172544176894
2023-09-20,4344.494568397781,4171.529860558168,4523.165735126642
2023-09-21,4341.926930269288,4151.882384551991,4518.294484813507
2023-09-22,4340.949753926744,4163.934859646271,4524.3032096100305
2023-09-25,4331.143771022409,4142.908652928351,4514.439462169799
2023-09-26,4327.250318104894,4137.279156262686,4510.164824316874
2023-09-27,4321.616768496295,4140.004650145341,4514.528518444159
2023-09-28,4320.819667177489,4139.413968149802,4514.57828372701
2023-09-29,4321.4305174955425,4143.972903748206,4506.510821200777
2023-10-02,4315.269102832375,4137.511604022927,4499.848600950472
2023-10-03,4312.244267696132,4130.765367010524,4500.1000628477905
2023-10-04,4307.3353066238315,4123.243581125169,4478.984855716863
